Education Level,Years of Experience,Location,Industry,Job Title,Salary
High School,25,Rural,Tech,Business Analyst,61172.71008076381
PhD,17,Suburban,Education,Data Scientist,128339.94898499113
Bachelor's,8,Rural,Finance,Project Manager,74570.91720140161
Master's,0,Suburban,Education,Software Engineer,89490.98075688032
Bachelor's,8,Suburban,Education,Others,61121.755032265726
High School,22,Rural,Education,Software Engineer,71791.92269597478
PhD,1,Rural,Education,Others,81352.75525303128
Bachelor's,13,Suburban,Tech,Data Scientist,71737.59226910766
High School,37,Urban,Finance,Others,75755.15222669578
Master's,39,Rural,Finance,Business Analyst,116501.58757120292
Master's,17,Rural,Education,Project Manager,93793.12762868915
Master's,15,Urban,Finance,Project Manager,94686.89659945629
High School,28,Urban,Healthcare,Business Analyst,54689.89181545696
PhD,10,Suburban,Tech,Project Manager,109836.87324689656
Bachelor's,5,Rural,Finance,Software Engineer,31794.714042179938
Master's,2,Suburban,Tech,Business Analyst,71063.71817832216
High School,13,Rural,Healthcare,Business Analyst,49850.55410788044
High School,1,Urban,Tech,Project Manager,11175.974965417285
Bachelor's,31,Suburban,Healthcare,Others,86794.28398367508
Master's,30,Rural,Education,Data Scientist,128117.35875895653
High School,10,Rural,Finance,Others,49751.16895811993
Bachelor's,21,Urban,Education,Software Engineer,99440.28595534622
PhD,2,Urban,Finance,Business Analyst,95470.23874250276
PhD,30,Rural,Education,Business Analyst,131646.61304489663
PhD,32,Urban,Healthcare,Software Engineer,159073.5308991803
Master's,23,Urban,Finance,Data Scientist,117815.27096278185
Bachelor's,0,Suburban,Education,Business Analyst,41341.244176887965
Bachelor's,14,Rural,Tech,Others,51644.32668758319
High School,36,Suburban,Tech,Software Engineer,87095.78099504074
High School,26,Urban,Education,Business Analyst,62891.421774974
High School,37,Rural,Healthcare,Others,113432.01067587324
Bachelor's,26,Urban,Education,Software Engineer,79412.76839021218
High School,11,Urban,Tech,Software Engineer,41824.92938898729
Bachelor's,2,Rural,Finance,Software Engineer,41925.89303323501
Bachelor's,29,Urban,Finance,Data Scientist,100008.67328358165
PhD,31,Suburban,Education,Software Engineer,132031.64999899044
High School,22,Rural,Finance,Project Manager,51316.72953574239
PhD,1,Urban,Tech,Project Manager,91348.8575218303
Master's,6,Urban,Finance,Software Engineer,75912.82032500001
Master's,33,Urban,Education,Business Analyst,160972.3820212841
Master's,31,Rural,Education,Project Manager,132639.9415114035
Bachelor's,38,Suburban,Education,Others,118492.39912779172
Bachelor's,31,Urban,Tech,Others,103079.0700276106
Bachelor's,13,Urban,Healthcare,Business Analyst,68789.5217868245
High School,2,Urban,Finance,Others,28236.070543434973
PhD,31,Rural,Education,Business Analyst,173500.80900465348
Bachelor's,35,Urban,Healthcare,Others,98086.36181399197
PhD,16,Urban,Education,Software Engineer,111946.49000765146
PhD,2,Urban,Education,Others,84735.95779351353
PhD,9,Rural,Tech,Software Engineer,103829.50026947146
High School,39,Suburban,Tech,Others,114137.22042741207
High School,17,Rural,Healthcare,Others,69701.59505232147
Master's,2,Suburban,Education,Others,65766.74612433962
Master's,38,Suburban,Finance,Software Engineer,104180.56652052847
PhD,9,Rural,Finance,Others,112794.68508948201
Master's,8,Urban,Finance,Others,100485.81373601043
PhD,10,Suburban,Healthcare,Data Scientist,102639.97492342244
High School,32,Urban,Tech,Software Engineer,99090.2340836495
High School,35,Suburban,Healthcare,Project Manager,80789.11894370652
High School,25,Urban,Tech,Business Analyst,64114.75499027189
Bachelor's,26,Urban,Finance,Data Scientist,83428.0175740842
PhD,37,Rural,Finance,Others,164644.1379514787
High School,21,Urban,Tech,Project Manager,53410.239779613745
PhD,25,Suburban,Finance,Project Manager,132805.92644677998
Master's,21,Urban,Healthcare,Others,118437.15988850297
Master's,4,Urban,Tech,Others,70808.33816188198
High School,34,Urban,Finance,Data Scientist,98565.93106612867
PhD,1,Suburban,Education,Software Engineer,77839.67780925427
High School,34,Suburban,Finance,Data Scientist,104741.85715741859
Master's,8,Suburban,Education,Software Engineer,92716.13713663201
High School,17,Urban,Finance,Project Manager,62994.881474327936
PhD,11,Rural,Education,Business Analyst,113034.3610217871
Master's,2,Suburban,Finance,Others,67774.52065436816
Bachelor's,17,Urban,Education,Data Scientist,53520.50805299857
Master's,37,Suburban,Tech,Project Manager,137768.41941261175
Bachelor's,6,Rural,Tech,Data Scientist,63940.00810661087
High School,32,Urban,Education,Software Engineer,112145.71611053245
High School,5,Suburban,Finance,Others,31539.504842526196
PhD,17,Suburban,Healthcare,Software Engineer,121006.81618210455
Bachelor's,21,Rural,Healthcare,Software Engineer,93463.04216401279
High School,38,Suburban,Healthcare,Software Engineer,98787.32878860818
Bachelor's,8,Urban,Healthcare,Project Manager,54487.290432211186
High School,34,Urban,Education,Others,84566.40606741283
Master's,22,Rural,Tech,Business Analyst,92248.49347240369
High School,11,Rural,Tech,Data Scientist,39736.55431464713
PhD,23,Rural,Healthcare,Software Engineer,134110.69413023247
Master's,39,Urban,Tech,Others,111109.13808982915
PhD,8,Rural,Education,Data Scientist,97801.54537268089
Master's,12,Suburban,Healthcare,Others,87789.08162492706
Bachelor's,39,Suburban,Education,Data Scientist,94178.61965175482
PhD,16,Urban,Education,Others,105150.22626090326
High School,6,Suburban,Finance,Business Analyst,29440.42663533187
Bachelor's,16,Rural,Education,Others,97172.80458096931
High School,23,Suburban,Finance,Others,61212.27737105459
Master's,1,Rural,Healthcare,Software Engineer,61785.879334925055
Master's,34,Suburban,Education,Software Engineer,117440.44349079969
High School,27,Urban,Tech,Software Engineer,80735.15217436301
High School,18,Rural,Healthcare,Others,45904.26695654924
Bachelor's,32,Suburban,Education,Business Analyst,102536.15218728624
High School,20,Urban,Education,Data Scientist,52076.683950831146
PhD,9,Suburban,Tech,Software Engineer,109494.07248126972
PhD,8,Urban,Finance,Project Manager,110997.80884961579
High School,37,Suburban,Education,Others,53022.11191807008
PhD,5,Rural,Education,Business Analyst,87781.58891208083
High School,34,Rural,Tech,Business Analyst,94806.12794927052
Bachelor's,17,Rural,Healthcare,Software Engineer,81727.51084081343
PhD,18,Rural,Education,Software Engineer,113520.7464045443
PhD,4,Rural,Finance,Project Manager,104577.8361704551
High School,24,Suburban,Finance,Project Manager,68623.98509097385
PhD,10,Suburban,Tech,Software Engineer,117000.7253782732
Master's,9,Suburban,Finance,Data Scientist,96017.8372464055
Bachelor's,16,Suburban,Education,Software Engineer,70543.17207258371
Bachelor's,35,Rural,Finance,Software Engineer,101021.31732867486
PhD,25,Urban,Education,Business Analyst,127624.73777657027
PhD,30,Rural,Tech,Software Engineer,133531.60941265844
Master's,31,Suburban,Finance,Software Engineer,116479.57018461221
Master's,20,Rural,Education,Software Engineer,112543.57235714767
PhD,17,Rural,Healthcare,Data Scientist,126955.26249488659
PhD,17,Rural,Education,Business Analyst,120858.0677234132
Master's,0,Urban,Education,Others,93182.05690372366
High School,13,Rural,Tech,Others,50755.14502410494
Master's,7,Rural,Education,Others,96781.91599679747
High School,1,Urban,Tech,Others,27322.68586319268
Bachelor's,14,Rural,Education,Business Analyst,85052.02497905704
Bachelor's,33,Rural,Education,Software Engineer,87105.74952458922
Master's,35,Rural,Education,Others,119258.84238254552
High School,0,Rural,Tech,Software Engineer,23932.598908937158
Master's,20,Rural,Education,Others,126151.55976197045
Master's,0,Suburban,Tech,Data Scientist,67788.6866781128
High School,31,Rural,Healthcare,Software Engineer,68582.67873044369
Master's,19,Urban,Tech,Business Analyst,106424.18521902237
Bachelor's,35,Rural,Healthcare,Data Scientist,116270.947919413
PhD,38,Suburban,Tech,Data Scientist,148177.9902262766
PhD,29,Urban,Tech,Business Analyst,119624.79771473126
Master's,6,Urban,Education,Data Scientist,91779.16807289979
High School,21,Rural,Finance,Software Engineer,84108.80029281798
High School,9,Suburban,Finance,Project Manager,25049.426511535374
Bachelor's,7,Rural,Education,Project Manager,51666.730461393665
High School,26,Suburban,Healthcare,Others,61659.72353367468
High School,9,Suburban,Education,Others,38181.74302840909
Bachelor's,13,Rural,Finance,Software Engineer,70833.5458314794
Master's,10,Suburban,Tech,Business Analyst,102134.77207121173
PhD,5,Rural,Education,Software Engineer,92685.86490493821
Bachelor's,20,Suburban,Healthcare,Others,103947.22201103996
Master's,32,Urban,Education,Data Scientist,116372.67143692687
Bachelor's,18,Rural,Finance,Software Engineer,84528.14812518246
Master's,38,Suburban,Tech,Software Engineer,113376.88513245605
Bachelor's,23,Urban,Finance,Business Analyst,90515.89930654265
Master's,17,Urban,Finance,Others,74888.90154542973
Bachelor's,34,Urban,Finance,Software Engineer,74852.09520596938
Master's,36,Urban,Finance,Data Scientist,133145.12514510125
Bachelor's,18,Rural,Tech,Data Scientist,70159.9909433686
PhD,23,Suburban,Finance,Project Manager,119221.82394053829
PhD,33,Urban,Healthcare,Others,158258.85174827356
High School,21,Suburban,Healthcare,Data Scientist,62434.714691688554
Master's,3,Suburban,Finance,Business Analyst,82432.16514281633
Bachelor's,9,Suburban,Healthcare,Others,59300.27850395508
Master's,1,Rural,Finance,Data Scientist,58276.963070976744
PhD,7,Rural,Tech,Software Engineer,102828.64678958124
Master's,32,Urban,Tech,Others,103191.30596665347
Bachelor's,37,Suburban,Healthcare,Data Scientist,82197.10396758326
Master's,27,Rural,Healthcare,Software Engineer,104291.54218498064
Bachelor's,9,Rural,Finance,Project Manager,61649.391029382496
PhD,0,Rural,Education,Others,93345.19385495121
PhD,33,Urban,Finance,Others,155172.1839600208
PhD,2,Rural,Finance,Data Scientist,81894.75284193894
High School,8,Suburban,Tech,Project Manager,35172.65728569566
PhD,4,Rural,Education,Business Analyst,75842.15804637811
Master's,9,Rural,Education,Data Scientist,81882.7669235712
High School,11,Urban,Finance,Data Scientist,58267.55957617231
PhD,17,Suburban,Tech,Business Analyst,125754.76863606487
Master's,20,Rural,Healthcare,Business Analyst,99704.8186908317
Master's,20,Suburban,Tech,Business Analyst,106592.2886354269
Master's,0,Suburban,Healthcare,Business Analyst,73838.27023775985
Bachelor's,2,Rural,Tech,Business Analyst,54200.49420501018
High School,4,Urban,Education,Software Engineer,30255.09123414819
Master's,24,Suburban,Tech,Software Engineer,85988.39956984133
Bachelor's,7,Rural,Finance,Business Analyst,69413.89487219596
PhD,16,Suburban,Healthcare,Project Manager,117355.750249584
Master's,8,Suburban,Tech,Project Manager,96858.96524800516
Bachelor's,31,Suburban,Tech,Business Analyst,87220.66881144325
Master's,5,Rural,Healthcare,Software Engineer,103703.20210072347
High School,39,Suburban,Tech,Project Manager,89522.1274533372
High School,20,Suburban,Healthcare,Software Engineer,58878.11006257162
PhD,6,Urban,Education,Data Scientist,94610.77953621015
Master's,6,Rural,Healthcare,Software Engineer,80434.56422482255
Bachelor's,38,Rural,Healthcare,Business Analyst,97940.97993923974
PhD,26,Suburban,Education,Others,121090.69590873696
Master's,7,Urban,Tech,Business Analyst,61191.574438673844
PhD,8,Suburban,Tech,Data Scientist,93476.7242087616
Bachelor's,27,Suburban,Education,Software Engineer,96924.35669475871
PhD,14,Rural,Finance,Project Manager,104904.77299527128
PhD,1,Urban,Healthcare,Business Analyst,73948.51362902512
PhD,6,Suburban,Tech,Project Manager,90107.00252231697
Master's,17,Rural,Tech,Software Engineer,97826.53712160864
Bachelor's,21,Suburban,Healthcare,Data Scientist,78359.78832768253
High School,9,Suburban,Healthcare,Business Analyst,39504.62921290803
Master's,32,Urban,Healthcare,Project Manager,106303.46795354196
High School,6,Urban,Finance,Business Analyst,49151.43896395477
High School,2,Urban,Education,Business Analyst,38870.49510798584
Master's,13,Suburban,Finance,Project Manager,112732.59566528551
Master's,35,Urban,Finance,Data Scientist,106677.78703396849
Bachelor's,12,Rural,Healthcare,Business Analyst,69015.20824760734
Bachelor's,15,Suburban,Education,Data Scientist,85970.02023541949
PhD,15,Urban,Tech,Data Scientist,119650.08385196252
High School,4,Suburban,Healthcare,Software Engineer,24924.933197975675
Bachelor's,24,Suburban,Education,Project Manager,101188.21318823622
PhD,37,Rural,Tech,Software Engineer,144285.2889731302
Bachelor's,37,Rural,Finance,Others,98329.04111874259
Master's,37,Rural,Education,Software Engineer,103594.89300087123
Bachelor's,38,Suburban,Finance,Business Analyst,103507.20190059618
High School,40,Suburban,Finance,Business Analyst,113502.79707244047
Bachelor's,25,Rural,Education,Business Analyst,85279.9844429362
High School,12,Suburban,Tech,Others,47183.553858680054
Master's,25,Rural,Education,Data Scientist,97567.98095490901
High School,0,Rural,Tech,Business Analyst,37977.332439097285
Bachelor's,7,Urban,Healthcare,Software Engineer,33716.73603834093
PhD,3,Rural,Healthcare,Data Scientist,87771.18676466924
Master's,20,Urban,Healthcare,Software Engineer,113013.0800237513
Bachelor's,21,Rural,Finance,Software Engineer,75543.17479233046
Master's,36,Suburban,Healthcare,Business Analyst,130849.38847772071
Master's,2,Urban,Finance,Software Engineer,60173.16574499669
Bachelor's,18,Suburban,Tech,Others,93929.34667989147
Bachelor's,0,Suburban,Education,Data Scientist,50778.11346593007
PhD,28,Rural,Education,Business Analyst,128832.89540274817
Master's,22,Rural,Finance,Business Analyst,96927.80557322192
Master's,32,Suburban,Finance,Software Engineer,113373.98049646897
Bachelor's,40,Rural,Finance,Software Engineer,128959.05807378788
High School,22,Rural,Tech,Project Manager,55698.129810771155
Bachelor's,4,Rural,Tech,Project Manager,45867.74846672748
Master's,6,Suburban,Healthcare,Business Analyst,83686.80436094415
Bachelor's,5,Urban,Healthcare,Business Analyst,63286.51433678237
PhD,21,Urban,Education,Software Engineer,125069.19925778649
High School,12,Suburban,Healthcare,Others,44306.87337155414
Bachelor's,11,Rural,Tech,Others,70180.89928764648
PhD,3,Rural,Tech,Software Engineer,91212.55188412823
Master's,7,Urban,Tech,Project Manager,90708.33461082273
Bachelor's,36,Suburban,Tech,Project Manager,114135.77010595273
Master's,30,Suburban,Education,Others,105907.12363646533
PhD,36,Rural,Education,Business Analyst,151773.512011878
Master's,25,Rural,Tech,Software Engineer,104023.00480574233
PhD,7,Rural,Finance,Business Analyst,102725.21929279993
PhD,39,Suburban,Healthcare,Project Manager,140413.82348682897
PhD,32,Urban,Education,Others,121668.08782952909
Bachelor's,28,Suburban,Finance,Business Analyst,91096.91986641102
Master's,4,Suburban,Healthcare,Project Manager,74076.69505905945
Master's,27,Suburban,Finance,Project Manager,93557.9761608528
High School,39,Urban,Tech,Project Manager,105060.9148254838
High School,16,Rural,Healthcare,Business Analyst,60644.08768625022
High School,22,Rural,Finance,Data Scientist,84958.00648793924
High School,8,Suburban,Education,Others,36425.739209796884
Master's,1,Suburban,Education,Project Manager,62615.242574311276
PhD,31,Urban,Education,Business Analyst,143754.34260593634
PhD,30,Urban,Healthcare,Software Engineer,121981.63582828868
Bachelor's,6,Rural,Tech,Others,46175.49852126176
PhD,29,Suburban,Tech,Software Engineer,110141.01310124186
Master's,2,Urban,Healthcare,Software Engineer,65844.26434807565
Master's,8,Urban,Healthcare,Business Analyst,72709.12254058121
Master's,9,Suburban,Tech,Data Scientist,70595.37826325996
Bachelor's,25,Suburban,Education,Business Analyst,78547.16263654367
High School,0,Suburban,Tech,Business Analyst,6340.188522679942
PhD,29,Suburban,Tech,Others,148364.65781311694
Master's,37,Suburban,Finance,Business Analyst,111607.0602148262
Master's,14,Suburban,Education,Others,82548.16322507753
High School,24,Urban,Healthcare,Project Manager,74892.75010360302
Master's,5,Suburban,Tech,Others,83032.43909383997
PhD,17,Rural,Education,Business Analyst,105902.93957296212
Bachelor's,0,Suburban,Healthcare,Project Manager,54517.90755658157
Master's,2,Rural,Finance,Project Manager,88078.94608272082
PhD,16,Rural,Finance,Data Scientist,99606.16418873442
Master's,7,Rural,Education,Business Analyst,86917.74711356428
High School,39,Suburban,Tech,Software Engineer,80956.94262305555
Master's,16,Suburban,Healthcare,Business Analyst,100826.26062346809
Master's,24,Rural,Education,Software Engineer,108048.72942885806
Bachelor's,40,Suburban,Finance,Data Scientist,97018.77799545594
High School,11,Urban,Healthcare,Business Analyst,62645.10141193969
High School,28,Urban,Healthcare,Data Scientist,91787.74945755764
Bachelor's,24,Urban,Tech,Software Engineer,73377.07432586711
Master's,35,Urban,Finance,Others,140433.68738773276
PhD,24,Suburban,Finance,Business Analyst,119140.48099513436
High School,28,Rural,Finance,Project Manager,48512.62241525927
High School,10,Suburban,Healthcare,Project Manager,42022.85118127487
Master's,3,Urban,Finance,Data Scientist,69474.77832193188
Master's,13,Suburban,Education,Others,80756.66443745163
High School,37,Suburban,Finance,Project Manager,87780.15079612363
Master's,16,Urban,Healthcare,Project Manager,77503.79821165309
PhD,1,Rural,Finance,Business Analyst,92472.78624880538
High School,7,Suburban,Finance,Project Manager,53021.11570478989
PhD,35,Suburban,Healthcare,Software Engineer,151559.44651463072
PhD,9,Urban,Finance,Data Scientist,93755.24549219265
Master's,6,Rural,Tech,Project Manager,83687.48304469795
PhD,35,Urban,Healthcare,Business Analyst,160321.99723582374
Master's,15,Urban,Finance,Software Engineer,98100.6069669131
Bachelor's,13,Suburban,Tech,Project Manager,92814.0945149351
Master's,15,Rural,Education,Data Scientist,86907.08985042559
PhD,24,Urban,Healthcare,Data Scientist,136286.54005517828
Bachelor's,40,Suburban,Finance,Data Scientist,116427.59683686704
Master's,3,Urban,Healthcare,Project Manager,81883.76999547331
PhD,28,Suburban,Tech,Software Engineer,144785.16642695764
High School,5,Rural,Healthcare,Others,37963.10601208002
High School,0,Urban,Education,Data Scientist,23819.394874130565
Master's,38,Rural,Finance,Software Engineer,128797.72914652115
Master's,0,Rural,Education,Business Analyst,72363.33009812707
High School,39,Suburban,Tech,Business Analyst,75211.29612210339
PhD,2,Urban,Healthcare,Software Engineer,90368.80421824702
PhD,0,Urban,Finance,Business Analyst,90166.78043465268
PhD,0,Suburban,Finance,Business Analyst,74603.79873787663
Master's,38,Suburban,Tech,Data Scientist,128115.02654826737
Bachelor's,20,Rural,Tech,Project Manager,66899.95463980583
Bachelor's,29,Urban,Healthcare,Project Manager,116258.31732737314
Bachelor's,31,Urban,Finance,Project Manager,98639.74857274897
Bachelor's,32,Suburban,Tech,Project Manager,108546.08379955914
Bachelor's,21,Suburban,Finance,Software Engineer,76890.36253139513
Master's,29,Suburban,Healthcare,Data Scientist,99471.96807852444
Master's,3,Urban,Education,Software Engineer,61478.91628452305
Bachelor's,22,Urban,Tech,Business Analyst,99713.02354673677
Master's,24,Rural,Healthcare,Data Scientist,102848.53742564957
Master's,11,Suburban,Education,Others,96989.11013144668
Bachelor's,16,Rural,Healthcare,Project Manager,81510.97196054977
PhD,14,Urban,Tech,Business Analyst,107683.98152933407
Master's,9,Rural,Healthcare,Project Manager,92081.25895393174
PhD,34,Rural,Finance,Project Manager,159826.01276114097
Master's,28,Rural,Tech,Project Manager,130607.25641126392
Master's,11,Suburban,Finance,Others,72505.39378002542
Bachelor's,0,Urban,Healthcare,Business Analyst,64890.176597125865
Master's,0,Suburban,Tech,Project Manager,71861.11456525634
High School,9,Rural,Finance,Project Manager,63198.234011407185
High School,17,Suburban,Finance,Data Scientist,46410.49778056607
Bachelor's,1,Urban,Finance,Project Manager,63986.44022690556
PhD,7,Urban,Education,Data Scientist,97166.43229352731
PhD,21,Rural,Finance,Business Analyst,152309.2834946416
PhD,21,Rural,Finance,Business Analyst,127062.99244504762
High School,25,Suburban,Healthcare,Business Analyst,98166.68637790316
PhD,25,Urban,Healthcare,Data Scientist,132573.26052848768
PhD,8,Urban,Healthcare,Others,108941.64758115163
Bachelor's,20,Suburban,Healthcare,Others,99763.32443936064
PhD,30,Urban,Education,Project Manager,135462.45709861233
High School,5,Rural,Healthcare,Business Analyst,44825.96846026754
High School,13,Rural,Healthcare,Software Engineer,50134.46659129198
High School,32,Suburban,Healthcare,Project Manager,75319.18879320931
Bachelor's,6,Suburban,Finance,Others,59128.61257410588
Bachelor's,23,Suburban,Education,Others,85463.1073643181
Master's,8,Rural,Healthcare,Business Analyst,88605.84327251998
PhD,10,Suburban,Finance,Data Scientist,99028.05079984532
Bachelor's,22,Urban,Tech,Project Manager,85986.54170994903
High School,1,Suburban,Education,Data Scientist,7692.641806401898
High School,14,Urban,Healthcare,Others,66319.73664784449
Bachelor's,34,Rural,Finance,Business Analyst,119503.41703681118
Bachelor's,35,Urban,Tech,Others,109481.2804868205
Bachelor's,27,Urban,Tech,Business Analyst,84618.77786527245
Master's,38,Urban,Finance,Software Engineer,140965.47636227135
High School,3,Rural,Finance,Data Scientist,26475.304833997794
Master's,9,Urban,Education,Project Manager,87438.16344727945
Master's,5,Urban,Finance,Business Analyst,84960.0912739638
PhD,29,Suburban,Healthcare,Software Engineer,127393.50379518655
High School,34,Suburban,Tech,Software Engineer,86844.55249860043
High School,9,Suburban,Healthcare,Data Scientist,44639.8063972954
Bachelor's,31,Urban,Healthcare,Business Analyst,104216.61609957034
Bachelor's,2,Urban,Healthcare,Project Manager,60325.903744436604
PhD,25,Rural,Tech,Project Manager,137011.07430441363
Master's,14,Urban,Tech,Project Manager,86332.97581055197
Bachelor's,16,Urban,Tech,Others,73960.18424822888
Bachelor's,26,Rural,Finance,Others,90659.37022288117
High School,17,Urban,Healthcare,Business Analyst,57241.098528118055
High School,18,Rural,Education,Project Manager,40090.232076026725
Bachelor's,11,Rural,Finance,Software Engineer,65791.87367195637
High School,23,Suburban,Finance,Project Manager,63943.59123261863
PhD,4,Urban,Education,Business Analyst,86553.839238242
Bachelor's,23,Suburban,Healthcare,Project Manager,89663.31887445191
High School,26,Urban,Education,Data Scientist,84301.9159979897
PhD,29,Suburban,Tech,Project Manager,134663.1274277927
High School,14,Rural,Healthcare,Software Engineer,46783.55777157674
High School,37,Rural,Finance,Business Analyst,87194.92011478756
High School,33,Rural,Tech,Business Analyst,96709.84805254803
Bachelor's,26,Rural,Tech,Software Engineer,82458.12895109899
Master's,19,Urban,Finance,Business Analyst,97493.1746236583
High School,40,Urban,Education,Project Manager,61641.986993850005
PhD,31,Suburban,Tech,Business Analyst,138919.1460315148
Bachelor's,3,Urban,Tech,Project Manager,61510.74982462566
Bachelor's,4,Urban,Healthcare,Business Analyst,55741.835768903446
PhD,7,Suburban,Healthcare,Project Manager,106663.47774464061
High School,21,Rural,Finance,Project Manager,76757.01989470563
Master's,6,Suburban,Finance,Software Engineer,72543.1491515355
High School,21,Suburban,Finance,Software Engineer,62893.137490621404
PhD,29,Rural,Education,Others,116288.14804994968
Bachelor's,36,Suburban,Tech,Software Engineer,119630.38986575158
Master's,15,Suburban,Finance,Project Manager,102331.80478581093
Bachelor's,14,Suburban,Healthcare,Project Manager,61978.826611512886
PhD,4,Urban,Tech,Business Analyst,102784.7551649489
High School,2,Rural,Finance,Business Analyst,35723.923348370154
Master's,22,Rural,Tech,Others,85250.47074500733
Bachelor's,9,Suburban,Tech,Project Manager,62205.270086284705
Bachelor's,4,Urban,Tech,Others,66243.84697434517
Bachelor's,22,Rural,Finance,Project Manager,92663.19527463557
High School,14,Rural,Tech,Software Engineer,75369.83696069177
Master's,17,Suburban,Tech,Business Analyst,100182.89153171766
High School,24,Suburban,Tech,Others,63910.11065888691
High School,7,Suburban,Healthcare,Data Scientist,48697.402638778374
High School,30,Rural,Finance,Project Manager,63810.37460932322
PhD,20,Suburban,Education,Software Engineer,123630.95559717121
PhD,1,Suburban,Healthcare,Data Scientist,81988.16764133547
PhD,21,Suburban,Tech,Software Engineer,92851.44471695002
Master's,7,Urban,Tech,Software Engineer,91180.39430207506
High School,22,Suburban,Education,Project Manager,50690.26267928307
High School,31,Rural,Education,Software Engineer,71421.46556705648
PhD,7,Suburban,Healthcare,Others,103921.43591195025
High School,3,Rural,Tech,Data Scientist,31446.93205422648
High School,29,Urban,Education,Software Engineer,92875.9724917826
Bachelor's,18,Urban,Healthcare,Software Engineer,62789.60026919472
High School,22,Suburban,Education,Business Analyst,82351.21095900021
Bachelor's,17,Rural,Tech,Business Analyst,93878.84609050579
High School,28,Suburban,Tech,Others,83694.96385098304
Master's,22,Suburban,Tech,Business Analyst,115083.12176477542
PhD,32,Rural,Tech,Software Engineer,149470.1199871604
Bachelor's,17,Rural,Finance,Software Engineer,65573.47002785136
PhD,32,Rural,Finance,Data Scientist,147052.51681115926
Bachelor's,6,Rural,Finance,Business Analyst,45849.24608142992
Bachelor's,27,Rural,Healthcare,Project Manager,75361.37720984209
Bachelor's,0,Urban,Healthcare,Business Analyst,49219.17902284262
Master's,38,Urban,Education,Software Engineer,131075.37482095693
High School,33,Urban,Education,Data Scientist,82921.44470364472
Bachelor's,38,Rural,Healthcare,Business Analyst,106154.42423000828
Master's,18,Rural,Education,Data Scientist,101093.08231004466
Bachelor's,30,Rural,Healthcare,Business Analyst,90345.86837639636
High School,12,Suburban,Finance,Others,43957.791596734714
Bachelor's,23,Urban,Healthcare,Software Engineer,82002.32715573149
Master's,4,Urban,Healthcare,Software Engineer,62815.58554798263
High School,22,Suburban,Education,Project Manager,71516.31329641113
Master's,18,Suburban,Education,Software Engineer,94394.85723051787
High School,0,Urban,Healthcare,Project Manager,43935.55704957573
High School,32,Rural,Tech,Software Engineer,54731.64916208119
PhD,32,Urban,Education,Business Analyst,150394.0231104402
PhD,31,Rural,Healthcare,Business Analyst,134219.25127527284
PhD,27,Urban,Education,Others,143964.26904900547
High School,36,Urban,Tech,Business Analyst,67617.33750780074
Bachelor's,40,Suburban,Education,Data Scientist,113769.21032352647
Master's,11,Suburban,Healthcare,Business Analyst,86910.24989278977
Master's,8,Rural,Healthcare,Project Manager,85420.7419446795
Master's,10,Rural,Tech,Others,97118.23167039789
PhD,32,Urban,Healthcare,Data Scientist,145269.09469193648
High School,18,Suburban,Tech,Data Scientist,75896.61200947702
PhD,33,Rural,Healthcare,Software Engineer,157517.41073660782
Bachelor's,6,Rural,Healthcare,Project Manager,50183.323117873864
High School,30,Rural,Education,Business Analyst,53332.106638393656
Master's,1,Urban,Education,Business Analyst,73567.33729290949
PhD,18,Rural,Tech,Software Engineer,124996.63154455705
PhD,37,Rural,Education,Business Analyst,147887.29815110567
Bachelor's,31,Suburban,Finance,Data Scientist,80988.59383069052
Bachelor's,9,Suburban,Tech,Business Analyst,68819.92303114246
PhD,40,Suburban,Finance,Business Analyst,161451.76405765672
Bachelor's,7,Urban,Tech,Data Scientist,64514.08120987509
Master's,25,Suburban,Finance,Project Manager,117664.43791817295
Bachelor's,29,Suburban,Education,Project Manager,79546.90691874141
Bachelor's,10,Suburban,Education,Data Scientist,56576.33666232551
PhD,40,Suburban,Healthcare,Data Scientist,155434.3916944333
PhD,19,Rural,Finance,Others,90907.33610306928
High School,19,Urban,Healthcare,Others,65951.20409732034
High School,8,Rural,Tech,Business Analyst,38580.16907591788
PhD,7,Rural,Finance,Business Analyst,104527.13333627734
Bachelor's,14,Urban,Healthcare,Others,70071.31210996762
Bachelor's,33,Rural,Tech,Business Analyst,77168.67187365364
High School,23,Suburban,Finance,Project Manager,80069.56863009065
High School,32,Urban,Healthcare,Project Manager,81833.19104207982
High School,40,Rural,Finance,Software Engineer,97308.58841425278
Master's,40,Rural,Finance,Others,118595.14460754092
Master's,39,Suburban,Healthcare,Project Manager,135479.9513120705
High School,26,Rural,Education,Software Engineer,66934.04275348556
Bachelor's,20,Rural,Education,Data Scientist,100461.03503956294
High School,4,Rural,Healthcare,Project Manager,45370.81650376295
Master's,34,Urban,Tech,Software Engineer,112787.59699327528
Bachelor's,20,Urban,Healthcare,Business Analyst,76840.02093873263
Master's,3,Rural,Healthcare,Software Engineer,83872.05860226255
Bachelor's,15,Rural,Finance,Project Manager,67339.99795889539
Master's,30,Suburban,Education,Business Analyst,100549.19585335482
Bachelor's,25,Urban,Education,Business Analyst,92842.3602561668
Bachelor's,34,Urban,Education,Software Engineer,101809.8949215474
Bachelor's,5,Urban,Education,Software Engineer,55690.60207926633
Bachelor's,32,Rural,Healthcare,Project Manager,110215.66157328768
